anarchism_ideology|[ADJ] Tribes
left_anarchism|Free Territory of [NAME]
vanguardism|People's Republic of [NAME]
communism|[ADJ] Commune
socialism_ideology|Socialist Republic of [NAME]
socialist_monarchy|[NAME]
liberal_republic|Federal Republic of [NAME]
democratic_monarchism|Duchy of [NAME]
centrist_republic|[ADJ] Federation
centrist_monarchism|Principality of [NAME]
democratic|Republic of [NAME]
conservative_monarchism|Federal Kingdom of [NAME]
national_conservative_republic|[ADJ] Republic
national_conservative_monarchism|Kingdom of [NAME]
anocratic_republic|[ADJ] State
anocratic_monarchism|Grand Duchy of [NAME]
neutrality|State of [NAME]
authoritarian_monarchism|[ADJ] Kingdom
stratocratic|[ADJ] Military Junta
stratocratic_monarchism|Regency of [NAME]
monarchism|[ADJ] Empire
republican_fascism|Greater [ADJ] State
fascism|Empire of [NAME]
national_socialism|National Socialist State of [NAME]
theocratic|Church State of [NAME]
right_anarchism|[ADJ] Free Economic Zone
