anarchism_ideology|[NAME] Tribal Area
monarchism|[NAME] State
neutrality|[NAME] State
democratic|Republic of [NAME]
liberal_republic|Republic of [NAME]
communism|People's Republic of [NAME]
vanguardism|Commune of [NAME]
fascism|State of [NAME]
socialism_ideology|Socialist Republic of [NAME]
democratic_monarchism|Federal Kingdom of [NAME]
conservative_monarchism|Federal Kingdom of [NAME]
stratocratic|[ADJ] Military Junta
authoritarian_monarchism|Kingdom of [NAME]
republican_fascism|[ADJ] State
national_socialism|[ADJ] State
theocratic|Church State of [NAME]
left_anarchism|Free Territory of [NAME]
right_anarchism|[NAME] Company
socialist_monarchy|Kingdom of [NAME]
centrist_republic|Republic of [NAME]
centrist_monarchism|Kingdom of [NAME]
stratocratic_monarchism|Kingdom of [NAME]
